I brought ... and gave ... where ... 	Babylon, my capital city, they saw my ... and ... their ... 
Shalmaneser, king of all people, prince, vice-regent of Aššur, strong king, king of Assyria, king of all the four quarters, sun(god) of all people, (15) ruler of all lands, the king (who is the) desired object of the gods, chosen of the god Enlil, trustworthy appointee of Aššur, attentive prince, who has seen remote and rugged regions, who has trodden upon the mountain peaks in all the highlands, receiver of booty (20) and tax from all the (four) quarters, who opens paths above and below, at whose strong attack for combat the (four) quarters are distressed... 	Shalmaneser, king of all people, prince, vice-regent of Aššur, strong king, king of all (5) the four quarters, sun(god) of all people, ruler of all lands, king, desired object of the gods, chosen of the god Enlil, (10) trustworthy appointee of Aššur, attentive prince, who has seen remote and rugged regions, who has trodden upon the mountain peaks in all the highlands, receiver of booty (and) tax from all the (four) quarters, who opens paths above and below, at whose strong attack for combat (15) the (four) quarters are distressed (and) cities convulsed, strong male who acts with the support of Aššur (and) the god Šamaš, the gods his allies, and has no rival among the princes of the four quarters, magnificent king of lands, who has kept progressing by difficult ways through mountains and seas;
Nemed-Issar             	Marduk-bani-zeri             
“The God Ea Is the One Who Properly Directs (Water Flow into) My Cisterns”: (this is) the Mašqû Gate. (vii 65) “The One Who Brings in Income from the Settlements”: (this is) the Quay Gate. “The One Who Regulates Everything”: (this is) the Armory Gate. In total, three gates (facing) towards the west (and) I gave them (these) names.	“The God Ea Is the One Who Properly Directs (Water Flow into) My Cisterns”: (this is) the Mašqû Gate. (vii 95) “The One Who Brings in Income from the Settlements”: (this is) the Quay Gate. “The Presents of the People of Sumuʾel and Tēma (viii 1) Enter Through It”: (this is) the Desert Gate. “The One Who Regulates Everything”: (this is) the Armory Gate. “The God Šarur Is the One Who Cuts Down the King’s Enemy”: (this is) the Ḫandūru Gate. In total, five gates (facing) towards the west (and) I gave them (these) names.
There is a 'weapon'-mark on the right side of the 'turban' of the lung and it faces upward... 	If there is a 'weapon'-mark on the right side of the 'turban' of the lung and it faces upward: the gods of my army will abandon it... 
Witness Sunu... 	Witness NN, ... 
... two feet	... whom the king ... 
Witness Dunqi-Issar.	Witness Ubru-Issar, servant of ... 
... let them enter ... and	... into the presence ... 
15 cavalry mounts:	The ... cavalry mounts did not arrive, and the ... about  which I wrote to the king, my lord, are in Adia. If the king, my  lord, commands, they should cross over to Nineveh. Let king, my lord,  send a letter in reply to (this) letter. 
If cloudbanks lie in the path of the sun: the gods will make a favorable decision about the land.	If the moon's position at its appearance is stable: the gods will make a favorable decision about the land.
The line count of the inscription is 71 (lines). Sibūti, eponymy of Nabû-lēʾi, governor of the city Arbela (702).	The line count of the inscription is 63 (lines). Sibūti, eponymy of Nabû-lēʾi, governor of the city Arbela (702).
... have ... ed against you.	From the beginning the Marteneans have sinned against you. They brought Nabû-bel-šumati across the river, initiating the fights between Assyria and Elam. Then you wrote: "Send Nabû-bel-šumati here," and I seized Nabû-bel-šumati and sent him to you.
In the future, one of the kings, my descendants, whom the god Aššur and the goddess Ištar name for shepherding the land and (vi 55) people — when that palace becomes old and dilapidated, may a future ruler renovate its dilapidated section(s) when that palace becomes old and dilapidated. May he find an inscribed object bearing my name, anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur and the goddess Ištar will (then) hear his prayers.	In the future, may one of the kings, my descendants, whom (the god) Aššur and the goddess Ištar nominate for ruling over the land and people, renovate its dilapidated section(s) when this House of Succession becomes old and dilapidated. May he find an inscribed object bearing my name, (the name of) my father, (and the name of) my grandfather — the eternal seed of kingship — and (then) anoint (it) with oil, make an offering, (and) place (it) with an inscribed object bearing his name. May the great gods, as many as are recorded on this inscribed object, grant him mighty victories, just like me.
I shall write to the king, my lord, ... whatever it is.	The great gods of heaven and earth have sent health to the king, my lord ... 
... this news,	... is present. The left of the gall bladder is attached.
Witness Bel-lamur, scribe.	Witness Nabû-nammir, scribe.
(... ) Aššur-dān, appointee of the god Enlil, vice-regent of Aššur (... ), son of Adad-nārārī (III), appointee of the god Enlil, vice-regent of Aššur (... ), son of Šamšī-Adad (V), (who was) also appointee of the god Enlil and vice-regent of Aššur (... ) :	Shalmaneser, appointee of the god Enlil (and) vice-regent of Aššur, builder of Eḫursagkurkurra the temple of Aššur his lord, son of Adad-nārārī (I), appointee of the god Enlil (and) vice-regent of Aššur, son of Arik-dīn-ili who was also appointee of the god Enlil (and) vice-regent of Aššur: ... 
At that time, Nineveh, the exalted cult center, the city loved by the goddess Ištar in which all of the rituals for gods and goddesses are present; the enduring foundation (and) eternal base whose plan had been designed by the stars (lit. “writing”) of the firmament and whose arrangement was made manifest since time immemorial; (65) a sophisticated place (and) site of secret lore in which every kind of skilled craftsmanship, all of the rituals, (and) the secret(s) of the lalgar (cosmic subterranean water) are apprehended; 	At that time, Nineveh, the exalted cult center, the city loved by the goddess Ištar in which all of the rituals for gods and goddesses are present; (35) the enduring foundation (and) eternal base whose plan had been designed by the stars (lit. “writing”) of the firmament and whose arrangement was made manifest since time immemorial; a sophisticated place (and) site of secret lore in which every kind of skilled craftsmanship, all of the rituals, (and) the secret(s) of the lalgar (cosmic subterranean water) are apprehended; 
their names ... 	... the god Aššur, my lord, encouraged me and I marched to the land Judah. In the course of my campaign, I received a payment from the kings of ... With the strength of (the god) Aššur, my lord, I ... the district of ... -Yaū (Hezekiah) of the land Judah like ... (5') ... the city Azaqâ, a place upon which he relied, which (is situated) between my ... and the land Judah, ... is situated upon a mountain peak. Like the blade(s) of daggers, without number, they rise up high into the heavens ... were well fortified and rival high mountains. Looking upon (them), like ... from the heavens ... 
Riba-ilani the merchant has contracted and bought it from Mannu-ki-ahhe for 3 2/3 minas of silver.	Zazî, eunuch of the king, has contracted and bought it from Eṭir-Marduk for 5 3/4 minas of silver by the mina of the merchant.
You ... a pot ... 	a good report ... 
15 talents 10 minas, the deputy.	8 talents 10 minas for 500 wraps of the Gurraeans.
Witness Ramman-ram.	Witness Ahû'a-eriba. Witness Šamaš-nammir, merchant.
If the moon's horns at its appearance are pointed: the king will strike down the land of his enemy.	If the moon's horns at its appearance are pointed: the king of Akkad will rule the land wherever he goes, variant: the king of Akkad will weaken the land wherever he intends.
fingernail of Abzî,	Fingernail of Šarru-lu-dari,
5 hectares 2 decares, ditto, ... ;	1 hectare 5 decares of Se'-mata', of Til-rapši... (Break)
To the king, my lord: your servant Marduk-šakin-šumi. The best of  health to the king, my lord! May Nabû and Marduk bless the king, my  lord! May Ištar of Arbela give happiness and health to the king, my  lord! May she sate the king, my lord, with old age and fullness of life!  May she present the king, my lord, with long-lasting days!	To the king, my lord: your servant Nabû-nadin-šumi. Good  health to the king, my lord! May Nabû and Marduk bless the king, my  lord! May they give long-lasting days, ever-lasting years, happiness  and physical well-being to the king, my lord! As heaven and earth last for ever, may the name of the king, my lord, last for ever in the  land of Assyria!
the (grand) total is 88  fortified walled cities of Chaldea, together with 820 small(er) settlements in their environs.	I carried off people, young (and) old, male and female, horses, mules, donkeys, camels, oxen, and sheep and goats without number, then (ii 20) I brought him (Ispabāra) to nought and made his land smaller. I detached from his land the cities Ṣi(ṣ)ṣirtu (and) Kummaḫlum, fortified cities, together with the small(er) settlements in their environs (and) the district of the land Bīt-Barrû in its entirety, and I added (this area) to the territory of Assyria.
... has written to me: "Come to my help ... !	... has written to me: "The king of Elam heard that a citizen of Babylon has written to Assyria: 'Concerning the news of the king of Elam, tell your lord that ... as far as ... '"
The ancient city Kalḫu which Shalmaneser, king of Assyria, a prince who preceded me, had built  — this city had become dilapidated; it lay dormant. I rebuilt this city. I took people which I had conquered from the lands over which I had gained dominion, from the land Sūḫu, (from) the entire land of Laqû, (from) the city Sirqu which is at the crossing of the Euphrates, (from) the entire land of Zamua,	The city Kalḫu I took in hand for renewal. I removed the old ruin hill (and) dug down to water level. I sank (the foundation pit) down to a depth of 120 layers of brick. I took people which I had conquered from the lands over which I had gained dominion, from the land Sūḫu, (from) the entire land Laqû, (from) the city Sirqu which is at the crossing of the Euphrates, (and from) the entire land of Zamua. I settled (them) therein. I dug out a canal from the Upper Zab (and)
... , who does not go out with Bel to the Akitu House, holds the fetter of the prisoner and sits with him.	... who does not go out with Bel to the Akitu House, carries the fetter of the prisoner and sits with him. The ... , which they place on the marinaded roasted meat in front of Bel, is that of ... 
“Should the kamanu-cakes be removed?” Favourable. 	“Should the rites of the Road House which are performed before Šarrat-nipha be removed?” Favourable. 
... those who are with him	... the one who raised the downfallen, avenger of ... capable ... , the one who provides pleasant protection over the people am I; son of Sennacherib, great king, mighty king, king of the world, king of Assyria; descendant of Sargon (II), king of Assyria, governor of Babylon, king of Sumer and Akkad; descendant of Bēl-bāni, son of Adasi, king of Assyria, ancient stock —
