not to harm ... 	... to conquer a land not obedient to me ... 
"We are his messengers	he (Natnu) had never inquired about the well-being of my royal majesty — after Iautaʾ, the king of the land of the Arabs, a servant who belonged to me, had fled to the land of the Nabayateans and came before Natnu, (x 5'') Natnu said the following to Iautaʾ, saying: “Can I myself be spared from the grasp of Assyria? Nevertheless, you have made me your stronghold!” Natnu became frightened and distressed. (x 10'') He sent his messengers to me to inquire about my well-being and kissed my feet. He was constantly beseeching my lordly majesty to conclude a treaty (and) peace agreement, (and) to do obeisance to me. I myself looked with pleasure upon him and turned my benevolent face towards him. I imposed upon him annual tribute payment.
... who uttered ... unkind ... , I ripped out their tongue(s and) flayed them inside the city Arbela.	As for Mannu-kī-aḫḫē, the deputy of Dunānu, and Nabû-uṣalli, a city overseer of the land Gambulu, who had uttered grievous blasphem(ies) against my gods, I ripped out their tongue(s and) flayed them inside the city Arbela.
two ... my servants	let me enjoy it. Why does he ... my servants?
... up to two days	... two days
Now nothing ... 	and anything ... 
... What do I have?	... What do these people ... 
Mannu-ki-Arbail has contracted and bought it from Balṭaya for 4 minas of silver (by the mina) of Carchemish.	Abi-rahî, sister of the governess, has contracted and bought them for two minas of silver by the mina of Carchemish.
... and make his name (and) his descendant(s) disappear from every land!	(But as for) the one who by some crafty device destroys an inscription written in my name or changes its position, may the goddess Queen-of-Nippur, great lady, glare at him angrily and make his name (and) his descendant(s) disappear from every land!
there are no ... 	There are ... unfavorable omens... 
... Ea-mahir	... -pahir ... 
The kettledrum (performance)s for the processions of the gods, for the entire year: 	The kettledrum (performance)s for divine processions for the entire year: 
... them there	... they removed again
I consulted ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Witness Nabû-taqqinanni, scribe.	Witness Nabû-nammir, scribe.
... I have dispatched to the king, my lord.	My messenger returned from the city ... on the 14th, and I have sent him to the king, my lord.
Atar-yatê, the ... ,	200 ewes, 150 she-goats, 230 yearlings, a total of 580 sheep belonging to Dannaya, the ... ,
Month Tammuz (IV), 18th day, eponym year of Dananu of Manṣuati.	Month Tammuz (IV), 15th day, eponym year of Sennacherib, king of Assyria.
Previously ... 	At that time the wall of the city Nineveh which previously ... a prince who preceded me, had built, had become dilapidated ... I delineated its area (and) dug down to the bottom of its foundation pit... I laid the foundation of this wall (and) made it the thickness of nine and one-half bricks. Around the entire circumference of this wall from top to bottom I piled up earth like a ruin hill. The lower ... layers of brick I covered with earth. I made it stronger (and) bigger than before... water. I covered (it) with a facing of limestone slabs.
Bel-dan, ... ;	60 hectares of arable land, ... ;
the cities Sapīya (Šapīya), Sarrabānu, Larak, Parak-Marri, Bīt-Ilu-bāni, Aḫudu, Ša-iṣṣur-Adad, Šaḫarratu, Manaḫḫu, Ša-amēlê, Dūr-Aqqīya, Nagītu, Nūr-abīnu, Ḫar-Ṣuarra, Dūr-Rukbi, Danda-Ḫulla, Dūr-Bir-Dada, Bīt-Reʾê, Dūr-Ugurri, Ḫindaina, Dūr-Uayyit, Bīt-Taurâ, Sapḫuna, Bu-ḫarru, (45) Ḫarbat-Iddina, Ḫarbat-Kalbi, Ša-barê, Bīt-Bāni-ilūya, Sulādu, Bīt-Iltama-samaʾa, Bīt-Dīni-ili, Daqala, Ḫameza, Bēlā, Tairu, Kiprānu, Iltaratu, Aqqar-ša-kīna, Sagabatu-ša-Mardukīya, altogether 39 fortified cities of the land of the Bīt-Amukāni, together with 350 small(er) settlements in their environs;	the cities Sapīya (Šapīya), Sarrabānu, Larak, Parak-Mar­ri, Bīt-I­lu-bā­ni, A­ḫu­du, Ša-iṣ­ṣur-A­dad, Ša­ḫar­ra­tu, Manaḫḫu, Ša-amēlê, Dūr-Aqqīya, Nagītu, Nūr-abīnu, Ḫar-Ṣuarra, Dūr-Rukbi, Danda-Ḫulla, Dūr-Bir-Dada, Bīt-Reʾê, Dūr-Ugurri, Gindaina, Dūr-Uayyit, Bīt-Taurâ, Sapḫuna, Bu-ḫarru, (45) Ḫarbat-Iddina, Ḫarbat-Kalbi, Ša-barê, Bīt-Bāni-ilūya, Sulādu, Bīt-Iltama-samaʾa, Bīt-Dīni-ili, Daqala, Ḫameza, Bēlā, Tairu, Kip­rā­nu, Il­ta­ra­tu, Aq­qar-ša-kī­na, Sa­ga­ba­tu-ša-Mar­du­kī­ya, altogether 39  fortified walled cities of the land of the Bīt-Amukāni, together with 350 small(er) settlements in their environs;
... they stay ... his ... 	On the 23rd is the release of the feet. The chariot of Aššur is hitched and stands at the House of Aššur. At the time of performing the sheep offering, it goes to the house of Dagan ... Aššur of Reading ... the house ... is ... 
Witness NN, chariot driver ... 	Witness NN, chariot driver.
... will bring in	(As for) Ahu-lê, the city including ... will be in his charge ... 
crossed over ... 	In my accession year (and in my first regnal year) after I nobly ascended the royal throne, with the exalted strength of the god Aššur, my lord, who goes before me, with the ... of the god Ninurta, who goes at my right hand, with the martial spirit of the god Adad, who goes at my left hand, I mustered my chariots and troops. Difficult roads ... which for the passage of my chariots and troops were not suitable, routes which were impassable, whose barriers even the winged birds of the sky could not pass, the barriers through which no king or prince who preceded me had marched ... I took that road ... , their rugged paths and difficult passes, the terraces of their mountains — with bronze picks I hacked out a good way for the passage of my chariotry. I marched right through those mountains. I crossed over the Rivers ... ubdu (Iand) Samanunu. I entered the land Uruaṭri. The lands ... Mašgun (or Bargun), Mildu ... I brought about their extensive defeat ... like a cloud upon them ... I reorganized. In order to ... on stakes over their cities I hung them ... 
into the charge of ... 	The town of ... uinna, a district in the charge of NN.
Total 5 1/2 minas 2 shekels... 	Total, 12 minas 27 shekels of gold; the sample in the domestic quarter was not weighed.
deported ... of	a good report ... 
... sâ, his son,	Whoever ... , whether Nabû-... , ... , seeks a lawsuit or litigation against ... , his sons, ... ,
If the Plough star comes close to Scorpius: the ruler will die by a sting of a scorpion; after him his son will not take the throne; the mind of the land will change, the land will get another lord; the border of the land will not be stable; lamentation of the great gods over the land.	If the Plough star comes close to Scorpius: the ruler will die from a sting of a scorpion, variant: he will be seized in his palace; after him, his son will not take the throne; the mind of the land will change, the land will get another lord and the dwelling of the land will not become stable; lamentation of the great gods for the land. — Mars stands in Scorpius.
Witness Mannu-ki-Adad, porter.	Witness Mannu-ki-Adad, chief ... 
Esaggil ... front	When ... to Esaggil ... 
Urda-Belet and his people, ... ,	Ṭab-ahhe and his people, ... ,
... of the gall bladder is split and faces the base of the 'finger.' In the base of the middle surface of the 'finger' there is a 'weapon'-mark and it faces downward... 	The 'station' is curved, and turns towards a 'weapon'-mark. In the right side of the 'station' there is a hole. The 'path' and 'strength' are present. There are two left fissures, and the lower one faces the base of the 'finger.' In the top of the left surface of the 'finger' there is a 'weapon'-mark which faces upward... 
28 tablets, 10 one-column tablets, Enuma Anu Enlil,	x one-column tablets, Enuma Anu Enlil,
adjoining the road ... 	an estate of 4 hectares of land adjoining the road which leads from the village of Dannaya to the village of ... , a total of 5 (hectares) adjoining the field of Išmanni-... 
x trays of cakes	2 trays of cakes;
Witness Hara-Dadi, ditto.	Witness Hara-Dadî, son of Pirsû.
The king's word to Bel-eṭir: I am well; you can be glad.	The king's word to the Babylonians: I am well; you can be glad.
... of Chaldea ... 	... of the ... 
30 Kushite horses from Parsua,	4 Kushite horses from the treasurer of the queen mother;
Witness Da... , ... of the crown prince.	Witness NN, chief ... of the crown prince.
the hem ... 	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
Witness Aya-niri.	Witness Ahaṭunri.
Qabaya ... 	adjoining Ṣidqaya, ... 
now the messenger ... 	Besides, the messenger who brings a letter to his lord, whether a guard, a ... , or a mounted messenger ... — let them bring ... 
Witness Aššur-šarru-uṣur, cohort commander, son of Ahi-bašte.	Witness Aššur-šarru-uṣur, cohort commander.
To the king, my lord: your servant Bel-iddina: I would gladly die for the king, my lord! May Nabû and Marduk bless the king, my lord! Say to the king, my lord:	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
(As for) the one who destroys an inscribed object bearing my name or the name of the father of the father who had engendered me, makes (it) disappear by some crafty device, (or) does not place (it) with an inscribed object bearing his name, may the great gods of heaven and netherworld overthrow his kingship (and) make his name (and) seed disappear from the land.	(As for) the one who destroys an inscribed object bearing my name, the name of Esarhaddon, my father, or (the name of) Sennacherib, my grandfather, (or) does not place (it) with an inscribed object of his (own), may the great gods who reside in heaven and netherworld angrily curse him, overthrow  his kingship, (and) make his name (and) seed disappear from the land.
Satarpānu of the land Barikānu,	Satarpānu of the land Uppuria,
Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments, (or) has touched anything unclean... 	Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments... 
The 'farmer' should not be afraid of it.	The king should not be afraid of this eclipse! The planets Jupiter, Venus and Saturn were present during the eclipse.
As for the one who removes my inscription and my name: May the goddess Dinitu, my mistress, extinguish his sovereignty, break his weapon, cause his manhood to dwindle away, (and) hand him over to his enemies.	As for the one who removes my inscriptions and my name: May the goddess Dinitu, my mistress, break his weapon (and) hand him over to his enemies.
The coils of the colon are 14 in number. The heart of the ram is normal. Second extispicy... 	The breast-bone is thick. The coils of the colon are 16 in number. The heart of the ram is normal. Check-up... 
x, Arrapha;	Witness Nabû-šezib, ... of Arrapha.
... the scholars ... 	Let them ... the corpse ... 
seal of Bel-... ,	Seal of ... , owner of the ... being sold.
Witness Ahû'a-eriba, chariot driver.	Witness Aššur-šezibanni, chariot driver.
... a parasol	... a proverb runs as follows
From the quay of Baltil (Assur)	(13) From the quay of Baltil (Aššur) to the quay Babylon, wherever they stopped for the night, sheep were butchered, bulls were slaughtered, armannu-aromatics were scattered, ... They brought before him everything there is for morning (and) evening meals, and (then) piles of brushwood were lit (and) torches ignited. There was light for each league. All of my troops, like a rainbow, were arranged in a circle, there were festivities day and night.
In all, 2 ... 	In all, 26 minas of red wool, 26 minas of black.
of Mount Habruru to the land Gilzānu, from the opposite bank of the Lower Zab to the city Tīl-Bāri which is upstream from the city Zaban, to the cities Tīl-ša-Zabdāni and Tīl-ša-Abtāni, the cities Ḫirimu, Ḫarutu, (which are) fortresses of Karduniaš (Babylonia). I accounted (the people) from the pass of the city Babitu to Mount Ḫašmar	from the opposite bank of the Lower Zab to the city Tīl-Bāri which is upstream from the city Zaban, from the city Tīl-ša-Abtāni to the city Tīl-ša-Zabdāni, the cities Ḫirimu, Ḫarutu, (which are) fortresses of Karduniaš (Babylonia). I accounted (the people) from the passes of Mount Babitu to Mount (“the city”) Ḫašmar as people of my land. In the lands over which I gained dominion I always appointed my governors. They entered (lit. “performed') servitude (and) I imposed upon them corvée.
59 ditto, ditto, the front ditto, 1 1/3 mina;	... ditto, ditto, the front ditto, 1 1/3 mina;
Month Nisan (I), 23rd day, eponym year of Mari-larim (668). In the Succession Palace.	Month Nisan (I), 4th day, eponym year of NN, in the Succession Palace.
If Adad shouts on a day without clouds: there will be darkness, variant: famine in the land.	If Adad shouts on a cloudless day: there will be darkness, variant: famine in the land.
... (and) chosen ... 	... I have seized the house, the equipment of ... (and) the ... s
Be present in this ram, place in it a firm positive answer, and may I see (it)!	Be present in this ram, place (in it) a firm positive answer, favorable designs, favorable, propitious omens by the oracular command of your great divinity, and may I see (them).
or the eunuchs who bear arms, or the bearded (officials) who bear arms and stand guard for the king,	or the bearded (officials) who bear arms and stand guard for the king, or any of the entire body of those exempt,
To the king, my lord: your servant Issar-šumu-eres. Good health to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
... the treasurer ... 	... the archers ... 
There are x unfavorable omens.	There are ... unfavorable omens... 
Ba... , son of Šep-... 	Witness Busa... , son of Ki... u.
(As for) the rest of his magnates, who had raised their arms because they were terrified of doing battle with me, I captured them alive in the thick of battle. 	(As for) the rest of his magnates, including Nabû-šuma-iškun, a son of Marduk-apla-iddina (II) (Merodach-baladan), who had raised their arms because they were terrified of doing battle with me, I captured them alive in the thick of battle. 
