I brought ... and gave ... where ... 	... whom the king ... 
Whoever, in the future, at any time, whether Addî, or his sons (or) relatives, seeks and starts a lawsuit or litigation (against) Nabû-šarru-uṣur, shall return the money tenfold to its owner. He shall contest in his lawsuit and not succeed.	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
The city Tīl-Barsip, the fortified town, they (the gods) burned,	... ditto, ditto, the front red, of the port; 4 ... ;
... containing ... 	Witness ... 
I surrounded, conquered, (and) plundered the city Ataun... 	Disregard that an unclean person has performed extispicy in this place... 
... from its owner ... 	Witness ... 
The king, my lord, told me: "On the 28th you will go (and) ask!" Now, what is it that the king, my lord, commands?	To the king, my lord: your servant NN. Good health to the king, my lord!
... anniya	... we captured
... the torch in ... 	Witness ... 
As to the king my lord's command: "Review these persons whom the Commander-in-Chief brought forth and extract men from their midst" —	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
“Let me pray to the ... wild bull of heaven and earth,” an eršahunga-psalm to Ea.	News of Merodach-Baladan: he is in Babylon... will not overthrow him but ... 
Witness Banî, ... 	Witness ... 
I am sending the best report to the god Aššur, my lord, by so-and-so. One charioteer, two cavalrymen, (and) three scouts are dead.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
They have now asked him, and he spoke as follows: "Why should we do ... the work ... " 	... ditto, ditto, the front red, of the port; 4 ... ;
The (eastern) gate overlooking the river is the Gate of the Firmament, its entrance gate is the Entrance-of-the-Igigi Gate.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
the king should send ... 	Witness ... 
1/2 shekel of thyme;	May I see your messenger!
and brought to me ... 	Witness ... 
In this country, O king, my lord, they wield the plough with six oxen ... They cultivate the seed ... and make a good harvest ... 	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
The bird which they sent to the king, may my lord not eat it!	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
If a filament lies crosswise in the top of the 'station': the god will not listen to the prince's prayer. In warfare: the prince's army will not achieve its enterprise... 	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
in all 100+x tablets,	1 one-column tablet
... place utensils for ... in Nippur, saying: "You will send the utensils from Nippur and will go ... there, so we shall get confident! Give our sun-disc! We ... our tax."	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
... tax-exempt field	... we captured
To the king, my lord: your servant Ila'i-Bel. Good health to the king, my lord!	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
... we got scared	... we captured
whether there is ... 	Witness ... 
The ... s ... and stand up before Gula. He (= the priest) opens the door, places a stool in the courtyard, and places a (necklace of) crystal beads and a silver mirror upon it. In front of it he stretches a ... He arranges loaves of oil-bread on a basket, places a grilled ram on it, and places it on a table. He offers salt before DN, performs a flour/incense-offering, and performs libations.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
I settled them in the city Tušḫa. I took over this city  for myself (and) stored therein barley and straw from the land Nirbu. The rest (of the inhabitants) of the land Nirbu which had fled from my weapons	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Witness Nabû-ahhe-eriba, scribe, keeper of the tablet.	Witness Ubru-Issar, servant of ... 
“The heaped-up lofty hand”: the Gate of Their Prudence.	The day (means) the sun. 
4 bowls of silver, 3 ... , 5 shekels: the 28th day ... , from before the king ... :	... whom the king ... 
Near Nineveh, in the territory of the city Balāṭāya, by divine will, white limestone was discovered in abundance, and (then) I created bull colossi (and) sphinxes of alabaster, and slabs of alabaster, as well as magnificent slabs of breccia. I cut (them) free on both sides from their mountains, and (then), for the construction of my palace, I had (them) dragged into Nineveh.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
When I was in the town Ur... ,	Witness ... 
Šamaš will ... the king the area ... 	... whom the king ... 
You perform a sheep offering before the Igigi gods and before the bed, make a flour/incense-offering, pour oil, honey, beer and wine, and sing, “... ”	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
... his lord	... we captured
1 piece of baltu-stone for 1.	3 litres of bread, 2 litres per day,
have not ... ;	Witness ... 
The gods Aššur, Sîn, Šamaš, Bēl, Nabû, Ištar of Nineveh, (and) Ištar of Arbela saw the deeds of the usurpers which had been done wrongly against the will of the gods and they did not support them. They changed their strength to weakness and forced them to bow down to me. (i 50) The people of Assyria, who swore by oil and water to the treaty, an oath bound by the great gods, to protect my (right to exercise) kingship, did not come to their aid.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
May a later prince restore its ruined (portions) (and) return my inscription to its place. (Then) the gods Aššur (and) Adad, the great gods, will listen to his prayers. May he return my clay cone to its place.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
The king, my lord, should ask Balassu: he is familiar with the work.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
In the future may a later prince, when that site becomes old and dilapidated, repair it. May he restore my monumental inscription (and) my inscribed name to its place. (Then) the god Aššur will listen to his prayers.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
