x talents, Sam'al;	x talents, the manager of the Review Palace;
To the king, my lord: your servant, Nergal-šarrani. Good health to the king, my lord. May Nabû and Marduk bless the king, my lord... 	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
... Now then the messenger ... 	Now then, the men ... who are with Ana-Nabû-taklak ... 
They put their hands on the possessions of Esagil and the citizens of Babylon and plundered its goods, gold, silver, ... from inside the temple (and) sold (it) at market value to the land Elam. 	... the slave girl did not listen to her mistress. They led their gods away, neglected their goddesses, abandoned their rites, and embraced quite different (rites); ... they were inciting criminal acts (and) infringing on a taboo; ... they discontinued sattukku offerings. They fomented a conspiracy. They (Babylon’s citizens) put their hands on the possessions of Esagil and the citizens of Babylon and they plundered its goods, gold, silver, (and) stones from inside the temple (and) sold (them) at market value to the land Elam.
"We are his messengers	Natnu, the king of the land of the Nabayateans — whose location is remote — heard about the might of the gods Aššur (and) Marduk, who had encouraged me. The one who had never sent his messenger to the kings, my ancestors, (and) (viii 50) had never inquired about the well-being of their royal majesties, he now sent to me his messenger with greetings and kissed my feet. He was constantly beseeching my lordly majesty to conclude a treaty (and) peace agreement, (and) to do obeisance to me. I myself looked with pleasure upon him and turned my benevolent face towards him. I imposed upon him annual tribute payment.
... who uttered ... unkind ... , I ripped out their tongue(s and) flayed them inside the city Arbela.	As for Mannu-kī-aḫḫē, the deputy of Dunānu, and Nabû-uṣalli, a city overseer of the land Gambulu, who had uttered grievous blasphem(ies) against my gods, I ripped out their tongue(s and) flayed them inside the city Arbela.
two ... my servants	let me enjoy it. Why does he ... my servants?
... up to two days	... two days
Now nothing ... 	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
... -šumu-ukin, gate-guard;	... me, gate-guard;
... What do I have?	... that you have been safe... 
Mannu-ki-Arbail has contracted and bought it from Balṭaya for 4 minas of silver (by the mina) of Carchemish.	Zazî, eunuch of the king, has contracted and bought it from Eṭir-Marduk for 5 3/4 minas of silver by the mina of the merchant.
... and make his name (and) his descendant(s) disappear from every land!	(But as for) the one who by some crafty device destroys an inscription written in my name or changes its position, may the goddess Queen-of-Nippur, great lady, glare at him angrily and make his name (and) his descendant(s) disappear from every land!
there are no ... 	I examined (and) selected ... , soldiers, skilled in battle and combat, (iii 15') from ... and I attached (them) to my royal guard. With regard to ... , a group of charioteers, a group of cavalry, commanders of ... , officials, engineers, troops, light troops, shield bearers, scouts, farmers, shepherds, (and) orchard keepers — I added (them) in great numbers to the massive forces of the god Aššur and to the guard of the former kings, my ancestors, and I filled Assyria in its entirety like a quiver. I distributed the rest of them like sheep and goats among my palaces, my nobles, the entourage of my palace, and the citizens of Nineveh, Calah, Kalzu, (and) Arbela.
... Ea-mahir	... Nabû-mar-šarri-uṣur
... the nešakku-priest ... 	... the harvest ... 
The kettledrum (performance)s for the processions of the gods, for the entire year: 	The kettledrum (performance)s for divine processions for the entire year: 
... them there	... whom the king ... 
On the ... of month Iyyar (II) of the coming year... , should they load the statue of the great lord Marduk on the boat in the Inner City, and should he go to Babylon ... ?	I ask you, Šamaš, great lord, whether on the ... th day of Iyyar (II) of the coming year the statue of the great lord Marduk should be loaded on a boat in the Inner City and go to Babylon,
I consulted ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Witness Nabû-taqqinanni, scribe.	Witness Nabû-bel-šumati, scribe.
... I have dispatched to the king, my lord.	To the king, my lord: your servant NN. Good health to the king, my lord!
Witness Na'id-Aššur, architect.	Witness Batiti, architect.
at the disposal of Susu, son of Lu-šakin.	15 shekels of silver belonging to Ululayu and belonging to Apladad-na'di, at the disposal of Sanṣuri, son of Sin-na'id. 
By the command of the gods Aššur, Anu, and AIdad, the great gods, my lords, ... in pursuit of the Arameans, which twice in one year I crossed the Euphrates. I brought about their defeat from the city Anat of the land Sūḫu and the city Tadmar as far as the city Rapiqu of Karduniaš (Babylonia). I brought their tribute and tax to my city Aššur. The ... -daiu, Sutu, ... miraiu, who live at the foot of Mount Lebanon ... in rafts (made of inflated) goatskins I crossed the Euphrates. I conquered the city ... which (is) on the opposite bank of the Euphrates, (on the River Saggurru). At that time the region of the Aḫlamu which ... the city Mi... 	By the command of the gods Aššur (and) Adad, the great gods, my lords, ... in pursuit of the Arameans, which twice in one year I crossed the Euphrates. The Sutu, Naa... who live at the foot of Mount Lebanon ... in rafts (made of inflated) goatskins I crossed the Euphrates. I conquered the city ... which (is) (on the opposite bank of the Euphrates), on the River Saggurru. At that time the region of the Aḫlamu which ... numerous ... 
Atar-yatê, the ... ,	200 ewes, 150 she-goats, 230 yearlings, a total of 580 sheep belonging to Dannaya, the ... ,
Month Tammuz (IV), 18th day, eponym year of Dananu of Manṣuati.	Month Shebat (XI), 10th day, eponym year of Kanunayu of the New Palace.
As for the one who removes my inscription and my name: May the goddess Ištar, the great mistress, overthrow his sovereignty and rule; may she command that he not live one day longer.	As for the one who removes my inscriptions and my name, may the goddess Ištar, the great mistress, take away from him his throne, (and) may she make him sit in bondage before his enemies.
Previously ... 	May Aššur, Sin, Šamaš, Jupiter, Venus, Saturn, Mercury, Mars, and Sirius ... 
Bel-dan, ... ;	News of Merodach-Baladan ... 
the cities Sapīya (Šapīya), Sarrabānu, Larak, Parak-Marri, Bīt-Ilu-bāni, Aḫudu, Ša-iṣṣur-Adad, Šaḫarratu, Manaḫḫu, Ša-amēlê, Dūr-Aqqīya, Nagītu, Nūr-abīnu, Ḫar-Ṣuarra, Dūr-Rukbi, Danda-Ḫulla, Dūr-Bir-Dada, Bīt-Reʾê, Dūr-Ugurri, Ḫindaina, Dūr-Uayyit, Bīt-Taurâ, Sapḫuna, Bu-ḫarru, (45) Ḫarbat-Iddina, Ḫarbat-Kalbi, Ša-barê, Bīt-Bāni-ilūya, Sulādu, Bīt-Iltama-samaʾa, Bīt-Dīni-ili, Daqala, Ḫameza, Bēlā, Tairu, Kiprānu, Iltaratu, Aqqar-ša-kīna, Sagabatu-ša-Mardukīya, altogether 39 fortified cities of the land of the Bīt-Amukāni, together with 350 small(er) settlements in their environs;	the cities Sapīya (Šapīya), Sarrabānu, Larak, Parak-Mar­ri, Bīt-I­lu-bā­ni, A­ḫu­du, Ša-iṣ­ṣur-A­dad, Ša­ḫar­ra­tu, Manaḫḫu, Ša-amēlê, Dūr-Aqqīya, Nagītu, Nūr-abīnu, Ḫar-Ṣuarra, Dūr-Rukbi, Danda-Ḫulla, Dūr-Bir-Dada, Bīt-Reʾê, Dūr-Ugurri, Gindaina, Dūr-Uayyit, Bīt-Taurâ, Sapḫuna, Bu-ḫarru, (45) Ḫarbat-Iddina, Ḫarbat-Kalbi, Ša-barê, Bīt-Bāni-ilūya, Sulādu, Bīt-Iltama-samaʾa, Bīt-Dīni-ili, Daqala, Ḫameza, Bēlā, Tairu, Kip­rā­nu, Il­ta­ra­tu, Aq­qar-ša-kī­na, Sa­ga­ba­tu-ša-Mar­du­kī­ya, altogether 39  fortified walled cities of the land of the Bīt-Amukāni, together with 350 small(er) settlements in their environs;
... The 'base of the throne' is present. The 'finger' is thick ... 	... the 'cavity' is ... The 'base of the throne' is present. The 'weapon'-mark of the 'increment' rises towards the left... 
... they stay ... his ... 	... they say ... 
Witness NN, chariot driver ... 	Witness NN, chariot driver.
... will bring in	... will diminish ... king.
crossed over ... 	In my accession year (and in my first regnal year) after I nobly ascended the royal throne, with the exalted strength of the god Aššur, my lord, who goes before me, with the ... of the god Ninurta, who goes at my right hand, with the martial spirit of the god Adad, who goes at my left hand, I mustered my chariots and troops. Difficult roads ... which for the passage of my chariots and troops were not suitable, routes which were impassable, whose barriers even the winged birds of the sky could not pass, the barriers through which no king or prince who preceded me had marched ... I took that road ... , their rugged paths and difficult passes, the terraces of their mountains — with bronze picks I hacked out a good way for the passage of my chariotry. I marched right through those mountains. I crossed over the Rivers ... ubdu (Iand) Samanunu. I entered the land Uruaṭri. The lands ... Mašgun (or Bargun), Mildu ... I brought about their extensive defeat ... like a cloud upon them ... I reorganized. In order to ... on stakes over their cities I hung them ... 
