I brought ... and gave ... where ... 	... and shall send ... 
the iron sword ... the gods	the king's mother ... 
Witness Luqu, ... 	Witness ... 
Now Niya and Hi... have returned ... 	... and shall send ... 
The king should know all this!	The king, our lord, should know (this).
Concerning what the king, my lord, previously wrote to me ... 	... Aššur to the king, my lord ... 
At the time of the dinner, when the king enters the dinner together with the magnates, the table and the couch for the king are placed opposite the doorway.	By the command of (the god) Aššur, father of the gods, and the goddess Ištar, the queen, may the good šēdu (and) the good lamassu last forever and ever in that palace. May they never leave it.
I have now sent my messenger to Adad-aplu-iddina that they would capture (the people of Yadi'-il) and send them to the king.	I have now sent my messenger to him; as soon as he returns to me, I shall immediately write to the king, my lord.
will he fight to do battle with the men and army of Assurbanipal, king of Assyria, or with the Assyrians, or the Akkadians, or the Chaldeans, or the Arameans, who have grasped the feet of Assurbanipal, your creature?	that from this day on for as long as we live we will be subjects of Assurbanipal, king of Assyria, (that) Assurbanipal, king of Assyria shall be our king and lord, and (that) we will be totally devoted to Assurbanipal, king of Assyria, our lord.
32 sheaves — Nuraya	112 sheaves — Urda-Nabû
Shalmaneser, king of all people, prince, vice-regent of Aššur, strong king, king of Assyria, king of all the four quarters, sun(god) of all people, (15) ruler of all lands, the king (who is the) desired object of the gods, chosen of the god Enlil, trustworthy appointee of Aššur, attentive prince, who has seen remote and rugged regions, who has trodden upon the mountain peaks in all the highlands, receiver of booty (20) and tax from all the (four) quarters, who opens paths above and below, at whose strong attack for combat the (four) quarters are distressed... 	Shalmaneser, appointee of the god Enlil, vice-regent of Aššur, strong king, king of all people, shepherd of mankind, overseer of Ekur — the desired object of the gods (and) the mountain of the god Nunnamnir —, merciless crusher of criminals, great dragon of conflict, curser of enemies, the weapon which destroys the insubmissive, who weakens fierce (enemies), trampler of the rebellious, subduer of all the mountains, who flattened like grain the extensive army of the Qutu to remote regions, conqueror of the Lullubu  and Šubaru, who carries off hostile foes above and below;
Nemed-Issar             	Marduk-bani-zeri             
“The God Ea Is the One Who Properly Directs (Water Flow into) My Cisterns”: (this is) the Mašqû Gate. (vii 65) “The One Who Brings in Income from the Settlements”: (this is) the Quay Gate. “The One Who Regulates Everything”: (this is) the Armory Gate. In total, three gates (facing) towards the west (and) I gave them (these) names.	“The God Ea Is the One Who Properly Directs (Water Flow into) My Cisterns”: (this is) the Mašqû Gate. (vii 95) “The One Who Brings in Income from the Settlements”: (this is) the Quay Gate. “The Presents of the People of Sumuʾel and Tēma (viii 1) Enter Through It”: (this is) the Desert Gate. “The One Who Regulates Everything”: (this is) the Armory Gate. “The God Šarur Is the One Who Cuts Down the King’s Enemy”: (this is) the Ḫandūru Gate. In total, five gates (facing) towards the west (and) I gave them (these) names.
There is a 'weapon'-mark on the right side of the 'turban' of the lung and it faces upward... 	If Orion comes close to the moon: the days of the reign of the king will become long ... 
Witness Sunu... 	Witness ... 
This eclipse which occurred in the month Tebet (X), afflicted the Westland; the king of the Westland will die and his country decrease or, according to another tradition, perish.	If the sun disk and the moon are in opposition: the king of the land will widen his understanding.
The horses ... 	Witness ... 
any ... 	Witness ... 
... two feet	... we captured
The day that the letter of Aššur-reṣuwa came to me with the messenger of ... 	... from the city GN he came to the Inner City ... 
Witness Dunqi-Issar.	Witness ... 
... let them enter ... and	... whom the king ... 
15 cavalry mounts:	... cavalryman
If cloudbanks lie in the path of the sun: the gods will make a favorable decision about the land.	If Orion comes close to the moon: the days of the reign of the king will become long ... 
The line count of the inscription is 71 (lines). Sibūti, eponymy of Nabû-lēʾi, governor of the city Arbela (702).	Duʾūzu (IV), the ... day, eponymy of Nabû-šar-aḫḫēšu, <gove>rnor of the city Samaria (645).
The ziggurrat of Aššur, my lord, ... the location of which ... had destroyed	Beautiful ... the constellation of Ninmah ... 
an estate of x hectares x decares (with) a vegetable garden, adjoining ... Nabû'a, ... the field of Nabû-zeru-ibni;	An estate of 2 hectares of land adjoining the field of ... adjoining the road that leads to Enati.
... have ... ed against you.	... they removed again
In the future, one of the kings, my descendants, whom the god Aššur and the goddess Ištar name for shepherding the land and (vi 55) people — when that palace becomes old and dilapidated, may a future ruler renovate its dilapidated section(s) when that palace becomes old and dilapidated. May he find an inscribed object bearing my name, anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur and the goddess Ištar will (then) hear his prayers.	May any future ruler, whom (the god) Aššur names for shepherding the land and people (and) during whose reign that temple becomes dilapidated, (25) renovate its dilapidated section(s). May he find (this) inscribed object, anoint (it) with oil, make an offering, (and) put (it back) in its place. (The god) Aššur and the goddess Ištar will (then) hear his prayers.
I shall write to the king, my lord, ... whatever it is.	... Aššur to the king, my lord ... 
... this news,	... wine ... 
Witness Bel-lamur, scribe.	Witness Ubru-Issar, servant of ... 
Kudurru, the exorcist, the son of Nabû-damiq-ilani, a citizen of Borsippa ... 	Concerning the news of the son of Yakin: he is in Babylon. My ... 
(... ) Aššur-dān, appointee of the god Enlil, vice-regent of Aššur (... ), son of Adad-nārārī (III), appointee of the god Enlil, vice-regent of Aššur (... ), son of Šamšī-Adad (V), (who was) also appointee of the god Enlil and vice-regent of Aššur (... ) :	Shalmaneser, appointee of the god Enlil, vice-regent of Aššur, son of Adad-nārārī (I), vice-regent of Aššur, son of Arik-dīn-ili (who was) also vice-regent of Aššur:
At that time, Nineveh, the exalted cult center, the city loved by the goddess Ištar in which all of the rituals for gods and goddesses are present; the enduring foundation (and) eternal base whose plan had been designed by the stars (lit. “writing”) of the firmament and whose arrangement was made manifest since time immemorial; (65) a sophisticated place (and) site of secret lore in which every kind of skilled craftsmanship, all of the rituals, (and) the secret(s) of the lalgar (cosmic subterranean water) are apprehended; 	At that time, Nineveh, the exalted cult center, the city loved by the goddess Ištar in which all of the rituals for gods and goddesses are present; the enduring foundation (and) eternal base whose plan had been designed by the stars (lit. “writing”) of the firmament and whose arrangement was made manifest since time immemorial; a sophisticated place (and) site of secret lore in which every kind of skilled craftsmanship, all of the rituals, (and) the secret(s) of the lalgar (cosmic subterranean water) are apprehended; 
The gods Ea and Asalluḫi, by their exalted wisdom, opened their mouth(s) with “the washing of the mouth” (and) “the opening of the mouth” (rites) and had (them) dwell on their pure pedestal(s) in their lofty cellas for all time. The one who expanded the cult centers, enlarged the temples of the great gods, which from ancient times ... 	They (the gods) entered the orchards, groves, ... through the craft of the sage “the washing of the mouth,” “the opening of the mouth,” “bathing,” (and) “purification” (were recited) before the stars of the night: the gods Ea, Šamaš, Asalluḫi, Bēlet-ilī, Kusu, and Ningirima.
their names ... 	Witness ... 
Riba-ilani the merchant has contracted and bought it from Mannu-ki-ahhe for 3 2/3 minas of silver.	Šulmu-šarri, ... has contracted and bought it for 1/2 mina of silver ... 
You ... a pot ... 	... whom the king ... 
15 talents 10 minas, the deputy.	20 talents, the house of the queen;
Witness Ramman-ram.	Witness ... 
I invited Esarhaddon, king of Assyria, my beloved son, inside it and established ... 	Should Esarhaddon, king of Assyria, strive and plan,
If the moon's horns at its appearance are pointed: the king will strike down the land of his enemy.	If the moon is seen at an inappropriate time: dispersal of a city.
fingernail of Abzî,	Fingernail of Šarru-lu-dari,
5 hectares 2 decares, ditto, ... ;	... wherever he goes ... 
To the king, my lord: your servant Marduk-šakin-šumi. The best of  health to the king, my lord! May Nabû and Marduk bless the king, my  lord! May Ištar of Arbela give happiness and health to the king, my  lord! May she sate the king, my lord, with old age and fullness of life!  May she present the king, my lord, with long-lasting days!	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
